1.274916038831440801e+01,1.271891363760039440e+01,1.270150836286188678e+01,1.272817389980286862e+01,1.274287525362149154e+01,1.271974398995882893e+01,1.271087733518584173e+01,1.273507983355762008e+01,1.275169447982727888e+01,1.274172869150993392e+01,1.270913172900327481e+01,1.268024526850012990e+01,1.269030612316362294e+01,1.271783744624315204e+01,1.271995193388443113e+01,1.272164811484867641e+01,1.274569735362831580e+01,1.180218550981931003e+01,7.321181610898634062e+00,-1.984002352469360630e-02
1.274916038831440801e+01,1.271891363760039440e+01,1.270150836286188678e+01,1.272817389980286862e+01,1.274287525362149154e+01,1.271974398995882893e+01,1.271087733518584173e+01,1.273507983355762008e+01,1.275169447982727888e+01,1.274172869150993392e+01,1.270913172900327481e+01,1.268024526850012990e+01,1.269030612316362294e+01,1.271783744624315204e+01,1.271995193388443113e+01,1.272164811484867641e+01,1.274569735362831580e+01,1.180218550981931003e+01,7.321181610898634062e+00,-1.984002352469360630e-02
1.274916038831440801e+01,1.271891363760039440e+01,1.270150836286188678e+01,1.272817389980286862e+01,1.274287525362149154e+01,1.271974398995882893e+01,1.271087733518584173e+01,1.273507983355762008e+01,1.275169447982727888e+01,1.274172869150993392e+01,1.270913172900327481e+01,1.268024526850012990e+01,1.269030612316362294e+01,1.271783744624315204e+01,1.271995193388443113e+01,1.272164811484867641e+01,1.274569735362831580e+01,1.180218550981931003e+01,7.321181610898634062e+00,-1.984002352469360630e-02
1.274916038831440801e+01,1.271891363760039440e+01,1.270150836286188678e+01,1.272817389980286862e+01,1.274287525362149154e+01,1.271974398995882893e+01,1.271087733518584173e+01,1.273507983355762008e+01,1.275169447982727888e+01,1.274172869150993392e+01,1.270913172900327481e+01,1.268024526850012990e+01,1.269030612316362294e+01,1.271783744624315204e+01,1.271995193388443113e+01,1.272164811484867641e+01,1.274569735362831580e+01,1.180218550981931003e+01,7.321181610898634062e+00,-1.984002352469360630e-02
1.274916038831440801e+01,1.271891363760039440e+01,1.270150836286188678e+01,1.272817389980286862e+01,1.274287525362149154e+01,1.271974398995882893e+01,1.271087733518584173e+01,1.273507983355762008e+01,1.275169447982727888e+01,1.274172869150993392e+01,1.270913172900327481e+01,1.268024526850012990e+01,1.269030612316362294e+01,1.271783744624315204e+01,1.271995193388443113e+01,1.272164811484867641e+01,1.274569735362831580e+01,1.180218550981931003e+01,7.321181610898634062e+00,-1.984002352469360630e-02
1.274916038592811418e+01,1.271891363226654015e+01,1.270150835455877925e+01,1.272817388852883269e+01,1.274287523937671196e+01,1.271974397274427915e+01,1.271087731500053053e+01,1.273507981040033066e+01,1.275169445369928489e+01,1.274172866241228697e+01,1.270913169693464084e+01,1.268024523345984100e+01,1.269030608515340575e+01,1.271783740526288753e+01,1.271995188993112968e+01,1.272164806792680380e+01,1.274569730373890586e+01,1.180218545697796095e+01,7.321181555400115393e+00,-1.984008107562013068e-02
1.274916037223853493e+01,1.271891360166753060e+01,1.270150830692589494e+01,1.272817382385247242e+01,1.274287515765792911e+01,1.271974387398864970e+01,1.271087719920238079e+01,1.273507967755267600e+01,1.275169430380942437e+01,1.274172849548626019e+01,1.270913151296479704e+01,1.268024503244233969e+01,1.269030586709815545e+01,1.271783717016920967e+01,1.271995163778186821e+01,1.272164779874758267e+01,1.274569701753565276e+01,1.180218515384016165e+01,7.321181237018793198e+00,-1.984041123109975616e-02
1.274916035653686919e+01,1.271891356657109995e+01,1.270150825229196201e+01,1.272817374967002024e+01,1.274287506392816915e+01,1.271974376071797863e+01,1.271087706638429360e+01,1.273507952517915420e+01,1.275169413188884526e+01,1.274172830402555157e+01,1.270913130195518193e+01,1.268024480187941450e+01,1.269030561699328352e+01,1.271783690052161475e+01,1.271995134857187182e+01,1.272164749000457107e+01,1.274569668926642940e+01,1.180218480614736087e+01,7.321180871841987958e+00,-1.984078991262140310e-02
1.274916032704882163e+01,1.271891350065928528e+01,1.270150814968831732e+01,1.272817361035386341e+01,1.274287488790176859e+01,1.271974354799334961e+01,1.271087681694921301e+01,1.273507923901857453e+01,1.275169380901849259e+01,1.274172794445843415e+01,1.270913090567481873e+01,1.268024436887753659e+01,1.269030514729123027e+01,1.271783639411792599e+01,1.271995080542959400e+01,1.272164691017889382e+01,1.274569607277013006e+01,1.180218415317318836e+01,7.321180186032495207e+00,-1.984150108424678413e-02
1.274909888001477398e+01,1.271885154487200786e+01,1.270144568140360697e+01,1.272811062928279746e+01,1.274281139407607277e+01,1.271967954158083991e+01,1.271081229777916377e+01,1.273501420688078944e+01,1.275162826413264661e+01,1.274166188700621483e+01,1.270906433542602976e+01,1.268017728571667924e+01,1.269023755151636834e+01,1.271776828570866691e+01,1.271988218386977465e+01,1.272157777623939445e+01,1.274562642662937861e+01,1.180211399752346324e+01,7.321109571751593492e+00,-1.991246961369755666e-02
